dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.670047,17.624560,0.000596,0.059564,2.978188,148.909412,0.000810
0.020000,4.670232,17.624560,0.000780,0.009232,-2.516611,-274.739958,0.000663
0.020000,4.670601,17.624560,0.001149,0.018455,0.461155,148.888283,0.000367
0.020000,4.672371,17.624561,0.002919,0.088489,3.501701,152.027338,6.283110
0.020000,4.682638,17.624557,0.013186,0.513358,21.243442,887.087037,6.282521
0.020000,4.695470,17.624543,0.026019,0.641635,6.413890,-741.477623,6.281785
0.020000,4.710868,17.624515,0.041416,0.769872,6.411814,-0.103805,6.280903
0.020000,4.728829,17.624465,0.059378,0.898058,6.409324,-0.124497,6.279876
0.020000,4.749353,17.624385,0.079902,1.026206,6.407401,-0.096118,6.278705
0.020000,4.772438,17.624266,0.102987,1.154266,6.403004,-0.219880,6.277391
0.020000,4.798083,17.624099,0.128633,1.282275,6.400449,-0.127725,6.275935
0.020000,4.826286,17.623872,0.156836,1.410187,6.395594,-0.242752,6.274339
0.020000,4.857044,17.623573,0.187597,1.538012,6.391262,-0.216616,6.272603
0.020000,4.890357,17.623189,0.220911,1.665734,6.386104,-0.257915,6.270730
0.020000,4.926221,17.622707,0.256779,1.793365,6.381529,-0.228725,6.268721
0.020000,4.964633,17.622110,0.295196,1.920852,6.374363,-0.358318,6.266577
0.020000,5.005592,17.621383,0.336160,2.048239,6.369357,-0.250294,6.264302
0.020000,5.049092,17.620509,0.379670,2.175470,6.361553,-0.390219,6.261897
0.020000,5.095132,17.619470,0.425721,2.302556,6.354270,-0.364137,6.259365
0.020000,5.143706,17.618249,0.474311,2.429493,6.346859,-0.370562,6.256708
0.020000,5.194812,17.616824,0.525436,2.556256,6.338170,-0.434412,6.253929
0.020000,5.248443,17.615177,0.579093,2.682841,6.329246,-0.446195,6.251030
0.020000,5.304596,17.613285,0.635277,2.809235,6.319689,-0.477882,6.248015
0.020000,5.363265,17.611129,0.693986,2.935434,6.309928,-0.488020,6.244887
0.020000,5.424445,17.608686,0.755214,3.061420,6.299305,-0.531155,6.241650
0.020000,5.488129,17.605932,0.818958,3.187177,6.287864,-0.572065,6.238306
0.020000,5.554311,17.602846,0.885212,3.312710,6.276663,-0.560048,6.234859
0.020000,5.622984,17.599402,0.953972,3.437986,6.263780,-0.644158,6.231315
0.020000,5.694142,17.595578,1.025232,3.563011,6.251259,-0.626064,6.227675
0.020000,5.767776,17.591348,1.098987,3.687768,6.237858,-0.670025,6.223946
0.020000,5.843878,17.586689,1.175232,3.812241,6.223634,-0.711200,6.220132
0.020000,5.922440,17.581575,1.253961,3.936414,6.208641,-0.749662,6.216236
0.020000,6.003453,17.575981,1.335166,4.060288,6.193737,-0.745195,6.212265
0.020000,6.086907,17.569882,1.418843,4.183838,6.177472,-0.813249,6.208223
0.020000,6.172793,17.563254,1.504984,4.307061,6.161134,-0.816887,6.204115
