dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.672073,15.124561,0.000596,0.059564,2.978188,148.909412,0.000810
0.020000,4.671888,15.124561,0.000780,0.009232,-2.516611,-274.739958,0.000663
0.020000,4.671519,15.124561,0.001149,0.018455,0.461155,148.888283,0.000367
0.020000,4.672182,15.124561,0.001813,0.033166,0.735591,13.721813,6.283110
0.020000,4.680976,15.124557,0.010606,0.439670,20.325170,979.478927,6.282521
0.020000,4.691969,15.124546,0.021599,0.549644,5.498730,-741.321970,6.281785
0.020000,4.705162,15.124522,0.034792,0.659657,5.500633,0.095157,6.280903
0.020000,4.720556,15.124479,0.050186,0.769716,5.502937,0.115163,6.279876
0.020000,4.738153,15.124410,0.067783,0.879846,5.506491,0.177738,6.278705
0.020000,4.757953,15.124308,0.087584,0.990020,5.508700,0.110442,6.277391
0.020000,4.779958,15.124165,0.109589,1.100285,5.513278,0.228913,6.275935
0.020000,4.804170,15.123970,0.133802,1.210619,5.516686,0.170397,6.274339
0.020000,4.830589,15.123713,0.160223,1.321046,5.521361,0.233724,6.272603
0.020000,4.859219,15.123383,0.188854,1.431569,5.526161,0.239999,6.270730
0.020000,4.890060,15.122968,0.219698,1.542216,5.532315,0.307724,6.268721
0.020000,4.923116,15.122455,0.252758,1.652958,5.537112,0.239817,6.266577
0.020000,4.958387,15.121829,0.288035,1.763851,5.544656,0.377224,6.264302
0.020000,4.995877,15.121075,0.325532,1.874865,5.550701,0.302245,6.261897
0.020000,5.035587,15.120180,0.365252,1.986028,5.558123,0.371101,6.259365
0.020000,5.077521,15.119125,0.407200,2.097355,5.566384,0.413047,6.256708
0.020000,5.121681,15.117894,0.451377,2.208845,5.574512,0.406419,6.253929
0.020000,5.168069,15.116469,0.497787,2.320514,5.583426,0.445675,6.251030
0.020000,5.216689,15.114831,0.546434,2.432370,5.592800,0.468711,6.248015
0.020000,5.267543,15.112962,0.597323,2.544431,5.603027,0.511346,6.244887
0.020000,5.320635,15.110842,0.650457,2.656702,5.613553,0.526313,6.241650
0.020000,5.375967,15.108450,0.705841,2.769190,5.624433,0.543986,6.238306
0.020000,5.433543,15.105764,0.763479,2.881922,5.636602,0.608453,6.234859
0.020000,5.493366,15.102764,0.823377,2.994890,5.648404,0.590081,6.231315
0.020000,5.555439,15.099428,0.885539,3.108123,5.661629,0.661248,6.227675
0.020000,5.619765,15.095733,0.949972,3.221627,5.675209,0.679018,6.223946
0.020000,5.686349,15.091657,1.016680,3.335411,5.689201,0.699608,6.220132
0.020000,5.755193,15.087175,1.085670,3.449484,5.703658,0.722868,6.216236
0.020000,5.826301,15.082265,1.156947,3.563871,5.719339,0.784031,6.212265
0.020000,5.899676,15.076903,1.230519,3.678571,5.734975,0.781775,6.208223
0.020000,5.975324,15.071065,1.306391,3.793604,5.751695,0.836044,6.204115
0.020000,6.053246,15.064727,1.384570,3.908982,5.768859,0.858157,6.199947
0.020000,6.133447,15.057865,1.465065,4.024712,5.786514,0.882762,6.195725
0.020000,6.215931,15.050454,1.547881,4.140810,5.804902,0.919425,6.191455
0.020000,6.300702,15.042472,1.633027,4.257288,5.823922,0.950981,6.187142
0.020000,6.387763,15.033892,1.720510,4.374159,5.843510,0.979388,6.182793
0.020000,6.477120,15.024693,1.810338,4.491430,5.863555,1.002256,6.178414
0.020000,6.568775,15.014850,1.902521,4.609115,5.884279,1.036196,6.174013
0.020000,6.662734,15.004341,1.997065,4.727230,5.905725,1.072306,6.169595
0.020000,6.759000,14.993142,2.093981,4.845777,5.927349,1.081222,6.165167
0.020000,6.857578,14.981231,2.193276,4.964775,5.949913,1.128208,6.160738
0.020000,6.958474,14.968587,2.294961,5.084230,5.972724,1.140531,6.156314
0.020000,7.061691,14.955189,2.399044,5.204153,5.996185,1.173024,6.151903
0.020000,7.167235,14.941015,2.505535,5.324556,6.020121,1.196833,6.147512
0.020000,7.275110,14.926048,2.614444,5.445447,6.044577,1.222810,6.143149
0.020000,7.385323,14.910268,2.725781,5.566836,6.069446,1.243412,6.138823
0.020000,7.497879,14.893658,2.839555,5.688732,6.094818,1.268597,6.134540
0.020000,7.612783,14.876201,2.955778,5.811145,6.120625,1.290358,6.130311
0.020000,7.730042,14.857882,3.074460,5.934083,6.146879,1.312692,6.126142
0.020000,7.849663,14.838688,3.195611,6.057552,6.173496,1.330846,6.122043
0.020000,7.971652,14.818605,3.319242,6.181565,6.200623,1.356363,6.118022
0.020000,8.096017,14.797622,3.445365,6.306126,6.228044,1.371072,6.114088
0.020000,8.222766,14.775730,3.573990,6.431245,6.255942,1.394895,6.110249
0.020000,8.351905,14.752921,3.705128,6.556928,6.284157,1.410728,6.106516
0.020000,8.483445,14.729190,3.838792,6.683183,6.312778,1.431043,6.102896
0.020000,8.617395,14.704531,3.974992,6.810020,6.341813,1.451775,6.099400
0.020000,8.753764,14.678942,4.113741,6.937440,6.371043,1.461521,6.096037
0.020000,8.892563,14.652425,4.255050,7.065459,6.400922,1.493935,6.092816
0.020000,9.033802,14.624980,4.398932,7.194078,6.430968,1.502289,6.089747
0.020000,9.177495,14.596613,4.545398,7.323307,6.461436,1.523401,6.086839
0.020000,9.323654,14.567330,4.694461,7.453154,6.492338,1.545078,6.084103
0.020000,9.472291,14.537141,4.846134,7.583627,6.523679,1.567069,6.081549
0.020000,9.623423,14.506058,5.000428,7.714733,6.555278,1.579960,6.079186
0.020000,9.777063,14.474097,5.157358,7.846483,6.587511,1.611663,6.077025
0.020000,9.933229,14.441275,5.316936,7.978884,6.620053,1.627078,6.075076
0.020000,10.091938,14.407615,5.479174,8.111946,6.653112,1.652954,6.073350
0.020000,10.253208,14.373140,5.644088,8.245680,6.686699,1.679359,6.071859
0.020000,10.417058,14.337878,5.811690,8.380096,6.720808,1.705436,6.070611
0.020000,10.583510,14.301861,5.981994,8.515204,6.755396,1.729384,6.069620
0.020000,10.752586,14.265125,6.155014,8.651018,6.790672,1.763847,6.068895
0.020000,10.924308,14.227709,6.330765,8.787548,6.826505,1.791633,6.068449
0.020000,11.098105,14.189785,6.508653,8.894359,5.340541,-74.298186,6.068293
0.020000,11.272238,14.151786,6.686883,8.911523,0.858219,-224.116137,6.068433
0.020000,11.444977,14.114144,6.863676,8.839641,-3.594087,-222.615272,6.068863
0.020000,11.615749,14.077032,7.038434,8.737918,-5.086147,-74.602998,6.069571
0.020000,11.784550,14.040497,7.211144,8.635478,-5.122008,-1.793050,6.070547
0.020000,11.951375,14.004583,7.381791,8.532334,-5.157212,-1.760197,6.071778
0.020000,12.116217,13.969329,7.550360,8.428496,-5.191903,-1.734569,6.073254
0.020000,12.279071,13.934771,7.716840,8.323977,-5.225928,-1.701264,6.074963
0.020000,12.439928,13.900944,7.881216,8.218787,-5.259533,-1.680225,6.076896
0.020000,12.598781,13.867876,8.043474,8.112936,-5.292536,-1.650181,6.079041
0.020000,12.755622,13.835594,8.203603,8.006433,-5.325171,-1.631738,6.081388
0.020000,12.910442,13.804122,8.361589,7.899286,-5.357314,-1.607118,6.083927
0.020000,13.063230,13.773482,8.517419,7.791507,-5.388985,-1.583569,6.086647
0.020000,13.213976,13.743691,8.671081,7.683103,-5.420202,-1.560861,6.089539
0.020000,13.362670,13.714765,8.822563,7.574080,-5.451146,-1.547206,6.092593
0.020000,13.509301,13.686716,8.971852,7.464449,-5.481519,-1.518624,6.095799
0.020000,13.653856,13.659555,9.118936,7.354215,-5.511718,-1.509983,6.099146
0.020000,13.796322,13.633290,9.263804,7.243387,-5.541385,-1.483312,6.102627
0.020000,13.936689,13.607925,9.406443,7.131972,-5.570755,-1.468535,6.106231
0.020000,14.074941,13.583466,9.546843,7.019979,-5.599675,-1.445989,6.109949
0.020000,14.211067,13.559911,9.684991,6.907413,-5.628267,-1.429590,6.113773
0.020000,14.345051,13.537261,9.820877,6.794283,-5.656516,-1.412431,6.117692
0.020000,14.476881,13.515512,9.954489,6.680596,-5.684367,-1.392589,6.121698
0.020000,14.606542,13.494660,10.085816,6.566361,-5.711747,-1.368987,6.125782
0.020000,14.734020,13.474697,10.214847,6.451584,-5.738835,-1.354413,6.129936
0.020000,14.859301,13.455615,10.341573,6.336275,-5.765472,-1.331849,6.134152
0.020000,14.982370,13.437404,10.465982,6.220441,-5.791683,-1.310531,6.138420
0.020000,15.103212,13.420051,10.588064,6.104092,-5.817461,-1.288923,6.142732
0.020000,15.221814,13.403545,10.707808,5.987236,-5.842805,-1.267159,6.147081
0.020000,15.338160,13.387869,10.825206,5.869882,-5.867690,-1.244288,6.151458
0.020000,15.452237,13.373009,10.940247,5.752040,-5.892080,-1.219494,6.155855
0.020000,15.564030,13.358946,11.052921,5.633720,-5.916004,-1.196194,6.160266
0.020000,15.673526,13.345663,11.163220,5.514932,-5.939397,-1.169643,6.164682
0.020000,15.780711,13.333141,11.271133,5.395686,-5.962322,-1.146266,6.169096
0.020000,15.885571,13.321358,11.376653,5.275992,-5.984680,-1.117903,6.173501
0.020000,15.988093,13.310295,11.479771,5.155861,-6.006548,-1.093376,6.177890
0.020000,16.088264,13.299929,11.580477,5.035306,-6.027749,-1.060043,6.182256
0.020000,16.186072,13.290237,11.678763,4.914337,-6.048458,-1.035477,6.186593
0.020000,16.281504,13.281197,11.774623,4.792966,-6.068543,-1.004250,6.190894
0.020000,16.374548,13.272784,11.868047,4.671199,-6.088376,-0.991656,6.195152
0.020000,16.465194,13.264976,11.959028,4.549060,-6.106942,-0.928269,6.199363
0.020000,16.553429,13.257746,12.047559,4.426551,-6.125441,-0.924969,6.203519
0.020000,16.639244,13.251072,12.133633,4.303685,-6.143318,-0.893842,6.207615
0.020000,16.722627,13.244927,12.217242,4.180476,-6.160457,-0.856955,6.211646
0.020000,16.803570,13.239288,12.298381,4.056940,-6.176795,-0.816921,6.215607
0.020000,16.882062,13.234128,12.377043,3.933083,-6.192824,-0.801450,6.219492
0.020000,16.958095,13.229423,12.453221,3.808924,-6.207949,-0.756215,6.223296
0.020000,17.031660,13.225149,12.526910,3.684462,-6.223110,-0.758040,6.227015
0.020000,17.102750,13.221281,12.598105,3.559726,-6.236821,-0.685586,6.230645
0.020000,17.171355,13.217795,12.666799,3.434711,-6.250735,-0.695682,6.234180
0.020000,17.237470,13.214666,12.732988,3.309449,-6.263090,-0.617749,6.237617
0.020000,17.301088,13.211871,12.796667,3.183935,-6.275715,-0.631253,6.240951
0.020000,17.362201,13.209387,12.857831,3.058191,-6.287172,-0.572849,6.244180
0.020000,17.420804,13.207192,12.916475,2.932219,-6.298612,-0.571987,6.247300
0.020000,17.476892,13.205262,12.972596,2.806034,-6.309235,-0.531180,6.250306
0.020000,17.530458,13.203578,13.026189,2.679654,-6.318998,-0.488158,6.253197
0.020000,17.581499,13.202118,13.077250,2.553088,-6.328314,-0.465780,6.255968
0.020000,17.630010,13.200861,13.125777,2.426334,-6.337723,-0.470425,6.258617
0.020000,17.675985,13.199789,13.171765,2.299415,-6.345932,-0.410477,6.261142
0.020000,17.719423,13.198884,13.215212,2.172343,-6.353588,-0.382778,6.263540
0.020000,17.760318,13.198127,13.256115,2.045126,-6.360870,-0.364092,6.265808
0.020000,17.798668,13.197501,13.294470,1.917757,-6.368459,-0.379469,6.267944
0.020000,17.834470,13.196991,13.330275,1.790279,-6.373891,-0.271607,6.269947
0.020000,17.867721,13.196582,13.363529,1.662666,-6.380645,-0.337716,6.271814
0.020000,17.898419,13.196260,13.394228,1.534957,-6.385427,-0.239107,6.273544
0.020000,17.926560,13.196011,13.422371,1.407146,-6.390579,-0.257579,6.275134
0.020000,17.952145,13.195823,13.447956,1.279248,-6.394907,-0.216375,6.276585
0.020000,17.975169,13.195686,13.470981,1.151255,-6.399617,-0.235508,6.277893
0.020000,17.995633,13.195590,13.491445,1.023206,-6.402447,-0.141534,6.279059
0.020000,18.013535,13.195525,13.509347,0.895075,-6.406580,-0.206608,6.280081
0.020000,18.028873,13.195484,13.524685,0.766902,-6.408630,-0.102522,6.280958
0.020000,18.041646,13.195460,13.537458,0.638680,-6.411108,-0.123891,6.281689
0.020000,18.051855,13.195448,13.547667,0.510418,-6.413119,-0.100542,6.282274
0.020000,18.059497,13.195443,13.555309,0.382109,-6.415439,-0.116010,6.282713
0.020000,18.064573,13.195441,13.560385,0.253800,-6.415421,0.000869,6.283004
0.020000,18.067096,13.195441,13.562908,0.126188,-6.380641,1.739046,6.283149
0.020000,18.067724,13.195441,13.563536,0.031368,-4.741002,81.981921,0.000000
0.020000,18.067724,13.195441,13.563536,0.000000,-1.568381,158.631065,0.000000
