dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.828513,4.098268,0.000198,0.019788,0.989383,49.469165,6.281646
0.020000,2.828192,4.098268,0.000519,0.016048,-0.186998,-58.819040,6.282858
0.020000,2.828919,4.098269,0.001246,0.036355,1.015364,60.118090,0.002094
0.020000,2.830331,4.098274,0.002658,0.070609,1.712677,34.865639,0.005725
0.020000,2.832214,4.098290,0.004541,0.094164,1.177778,-26.744962,0.010566
0.020000,2.834569,4.098322,0.006896,0.117742,1.178901,0.056157,0.016613
0.020000,2.837396,4.098379,0.009724,0.141370,1.181377,0.123800,0.023865
0.020000,2.840696,4.098472,0.013025,0.165073,1.185151,0.188682,0.032314
0.020000,2.844471,4.098612,0.016803,0.188883,1.190523,0.268602,0.041953
0.020000,2.848724,4.098813,0.021060,0.212865,1.199119,0.429805,0.052769
0.020000,2.853457,4.099092,0.025802,0.237079,1.210659,0.576989,0.064745
0.020000,2.858676,4.099465,0.031034,0.261600,1.226051,0.769602,0.077856
0.020000,2.864386,4.099951,0.036764,0.286535,1.246762,1.035555,0.092073
0.020000,2.870594,4.100572,0.043004,0.311991,1.272808,1.302294,0.107354
0.020000,2.877311,4.101352,0.049766,0.338107,1.305781,1.648648,0.123652
0.020000,2.884548,4.102315,0.057067,0.365019,1.345618,1.991860,0.140905
0.020000,2.892318,4.103489,0.064925,0.392896,1.393842,2.411212,0.159042
0.020000,2.900636,4.104905,0.073363,0.421905,1.450461,2.830972,0.177975
0.020000,2.909522,4.106594,0.082407,0.452225,1.515981,3.275992,0.197607
0.020000,2.918994,4.108591,0.092088,0.484035,1.590497,3.725783,0.217825
0.020000,2.929076,4.110933,0.102438,0.517511,1.673803,4.165291,0.238503
0.020000,2.939791,4.113659,0.113494,0.552817,1.765306,4.575163,0.259504
0.020000,2.951165,4.116809,0.125296,0.590104,1.864336,4.951494,0.280677
0.020000,2.963224,4.120426,0.137886,0.629498,1.969740,5.270215,0.301863
0.020000,2.975996,4.124552,0.151309,0.671104,2.080265,5.526217,0.322896
