dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.827697,3.568268,0.000198,0.019788,0.989383,49.469165,6.281646
0.020000,2.828018,3.568268,0.000519,0.016048,-0.186998,-58.819040,6.282858
0.020000,2.830029,3.568270,0.002529,0.100523,4.223764,220.538065,0.002094
0.020000,2.833365,3.568283,0.005866,0.166842,3.315974,-45.389503,0.005725
0.020000,2.837814,3.568319,0.010315,0.222441,2.779941,-26.801660,0.010566
0.020000,2.843374,3.568395,0.015875,0.278005,2.778204,-0.086838,0.016613
0.020000,2.850043,3.568530,0.022546,0.333532,2.776341,-0.093162,0.023865
0.020000,2.857820,3.568748,0.030325,0.388987,2.772725,-0.180788,0.032314
0.020000,2.866700,3.569078,0.039212,0.444312,2.766275,-0.322512,0.041953
0.020000,2.876678,3.569551,0.049201,0.499487,2.758735,-0.376955,0.052769
0.020000,2.887748,3.570202,0.060290,0.554429,2.747097,-0.581901,0.064745
0.020000,2.899898,3.571070,0.072471,0.609047,2.730933,-0.808221,0.077856
0.020000,2.913115,3.572196,0.085736,0.663266,2.710940,-0.999671,0.092073
0.020000,2.927383,3.573624,0.100075,0.716953,2.684353,-1.329350,0.107354
0.020000,2.942680,3.575398,0.115475,0.769995,2.652096,-1.612843,0.123652
0.020000,2.958981,3.577568,0.131920,0.822224,2.611449,-2.032356,0.140905
0.020000,2.976255,3.580178,0.149390,0.873497,2.563638,-2.390519,0.159042
0.020000,2.994466,3.583277,0.167862,0.923635,2.506926,-2.835585,0.177975
0.020000,3.013573,3.586908,0.187312,0.972463,2.441368,-3.277906,0.197607
0.020000,3.033531,3.591115,0.207708,1.019801,2.366896,-3.723633,0.217825
0.020000,3.054288,3.595936,0.229017,1.065475,2.283689,-4.160360,0.238503
0.020000,3.075789,3.601404,0.251203,1.109316,2.192066,-4.581111,0.259504
0.020000,3.097978,3.607549,0.274227,1.151178,2.093104,-4.948092,0.280677
0.020000,3.120793,3.614390,0.298046,1.190932,1.987709,-5.269787,0.301863
0.020000,3.144173,3.621943,0.322615,1.228477,1.877222,-5.524351,0.322896
0.020000,3.168056,3.630212,0.347890,1.263737,1.763039,-5.709134,0.343604
0.020000,3.192384,3.639197,0.373823,1.296669,1.646602,-5.821871,0.363810
0.020000,3.217097,3.648887,0.400368,1.327255,1.529273,-5.866436,0.383338
0.020000,3.242142,3.659264,0.427478,1.355501,1.412290,-5.849125,0.402011
0.020000,3.267471,3.670301,0.455107,1.381429,1.296418,-5.793624,0.419653
0.020000,3.293037,3.681965,0.483209,1.405077,1.182414,-5.700181,0.436093
0.020000,3.318804,3.694214,0.511738,1.426481,1.070185,-5.611456,0.451162
0.020000,3.344736,3.707000,0.540652,1.445675,0.959683,-5.525098,0.464692
0.020000,3.370808,3.720268,0.569905,1.462674,0.849963,-5.486016,0.476518
0.020000,3.396995,3.733957,0.599455,1.477473,0.739967,-5.499816,0.486474
0.020000,3.423281,3.747999,0.629255,1.490037,0.628169,-5.589897,0.494392
0.020000,3.449650,3.762317,0.659261,1.500290,0.512664,-5.775253,0.500096
0.020000,3.476091,3.776829,0.689423,1.508117,0.391357,-6.065308,0.503404
0.020000,3.502595,3.791446,0.719691,1.513355,0.261876,-6.474072,0.504120
0.020000,3.529151,3.806068,0.750006,1.515793,0.121908,-6.998417,0.502034
